Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
appear,Come into sight; become visible or noticeable,görünmek,She appeared out of nowhere.,verb,"appears, appearing, appeared","show, emerge","disappear, vanish","appear suddenly, appear on",khác,en
appearance,The way that someone or something looks,görünüm,He takes pride in his appearance.,noun,appearances,"look, aspect","disappearance, absence","physical appearance, appearance change",khác,en
apple,"The round fruit of a tree of the rose family, which typically has thin green or red skin and crisp flesh",elma,She ate an apple for lunch.,noun,apples,fruit,none,"apple tree, apple pie",thức ăn,en
application,A formal request to an authority for something,başvuru,He filled out an application for the job.,noun,applications,"request, petition",none,"job application, application form",nghề nghiệp,en
apply,Make a formal application or request,başvurmak,You need to apply for the position.,verb,"applies, applying, applied","petition, request",none,"apply for, apply to",khác,en
appoint,Assign a job or role to (someone),atamak,She was appointed as the new manager.,verb,"appoints, appointing, appointed","assign, designate","dismiss, remove","appoint a manager, appoint a date",nghề nghiệp,en
appointment,An arrangement to meet someone at a particular time and place,randevu,I have an appointment with the doctor.,noun,appointments,"meeting, date","cancellation, refusal","doctor's appointment, set an appointment",nghề nghiệp,en
appreciate,Recognize the full worth of,takdir etmek,I appreciate your help.,verb,"appreciates, appreciating, appreciated","value, respect","disregard, ignore","greatly appreciate, appreciate fully",khác,en
approach,Come near or nearer to (someone or something) in distance,yaklaşmak,She approached the door slowly.,"verb, noun","approaches, approaching, approached","move towards, come near","retreat, withdraw","cautiously approach, approach the subject",khác,en
appropriate,Suitable or proper in the circumstances,uygun,That outfit is appropriate for the occasion.,adjective,appropriately,"suitable, proper","inappropriate, unsuitable","appropriate behavior, appropriate response",khác,en
approval,The action of officially agreeing to something or accepting something as satisfactory,onay,The project has received approval.,noun,approvals,"acceptance, consent","disapproval, rejection","gain approval, seek approval",nghề nghiệp,en
approve,Officially agree to or accept as satisfactory,onaylamak,Do you approve of this plan?,verb,"approves, approving, approved","accept, agree","reject, disapprove","approve the plan, approve of",luyện trí não,en
approving,Showing or feeling approval of someone or something,onaylayıcı,He gave an approving nod.,adjective,approvingly,"supportive, favorable",disapproving,"approving glance, approvingly",nghề nghiệp,en
approximate,"Close to the actual, but not completely accurate or exact",yaklaşık,The approximate cost is $100.,adjective,"approximates, approximating, approximated","near, close","exact, precise","approximate value, approximate time",nghề nghiệp,en
approximately,"Used to show that something is almost, but not completely, accurate or exact",yaklaşık olarak,There were approximately 50 people at the event.,adverb,approximate,"roughly, about","exactly, precisely","approximately equal, approximately similar",khác,en
April,"The fourth month of the year, in the northern hemisphere usually considered the second month of spring",Nisan,Her birthday is in April.,noun,Aprils,none,none,"April showers, April Fool's Day",văn hóa,en
area,"A region or part of a town, a country, or the world",alan,They live in a rural area.,noun,areas,"region, zone",none,"urban area, area code",du lịch,en
argue,"Give reasons or cite evidence in support of an idea, action, or theory, typically with the aim of persuading others to share one's view",tartışmak,They argued about the best solution.,verb,"argues, arguing, argued","dispute, debate","agree, concur","argue about, argue with",luyện trí não,en
argument,"An exchange of diverging or opposite views, typically a heated or angry one",tartışma,They had an argument about politics.,noun,arguments,"dispute, quarrel","agreement, harmony","heated argument, strong argument",du lịch,en
arise,Emerge; become apparent,ortaya çıkmak,Problems may arise if you don't follow the rules.,verb,"arises, arising, arose","emerge, occur","settle, resolve","arise naturally, arise unexpectedly",luyện trí não,en
arm,Each of the two upper limbs of the human body from the shoulder to the hand,kol,He injured his arm.,noun,arms,limb,none,"broken arm, left arm",khác,en
armed,Equipped with or carrying weapons,silahlı,The guards were armed.,adjective,armed,weaponized,unarmed,"armed forces, armed conflict",du lịch,en
arms,Weapons and ammunition,silahlar,The soldiers carried arms.,noun,arms,"weapons, munitions",none,"bear arms, lay down arms",nghề nghiệp,en
army,An organized military force equipped for fighting on land,ordu,He joined the army.,noun,armies,"military, troops",none,"army base, army officer",khác,en
around,Located or situated on every side,çevresinde,She looked around the room.,"adverb, preposition",around,"about, approximately",none,"look around, travel around",khác,en
arrange,"Put (things) in a neat, attractive, or required order",düzenlemek,She arranged the flowers in a vase.,verb,"arranges, arranging, arranged","organize, sort","disorganize, disrupt","arrange a meeting, arrange flowers",khác,en
arrangement,"The action, process, or result of arranging or being arranged",düzenleme,The arrangement of the furniture was perfect.,noun,arrangements,"order, organization","disorder, confusion","seating arrangement, financial arrangement",khác,en
arrest,Seize (someone) by legal authority and take into custody,tutuklamak,The police arrested the suspect.,verb,"arrests, arresting, arrested","detain, capture","release, free","make an arrest, arrest warrant",nghề nghiệp,en
arrival,The action or process of arriving,varış,Her arrival was delayed.,noun,arrivals,"coming, approach","departure, leaving","late arrival, early arrival",khác,en
arrive,Reach a place at the end of a journey or a stage in a journey,varmak,We arrived at the hotel.,verb,"arrives, arriving, arrived","reach, get to","leave, depart","arrive on time, arrive late",du lịch,en
arrive at,To reach a particular place,ulaşmak,They arrived at the station.,phrasal verb,"arrives at, arriving at, arrived at","reach, get to","leave, depart","arrive at a decision, arrive at a conclusion",khác,en
arrow,"A weapon consisting of a thin, straight stick with a sharp point, designed to be shot from a bow",ok,He shot an arrow.,noun,arrows,"shaft, dart",none,"shoot an arrow, bow and arrow",khác,en
art,"The expression or application of human creative skill and imagination, typically in a visual form such as painting or sculpture",sanat,She studied art in college.,noun,arts,"craft, creativity",none,"modern art, art gallery",văn hóa,en
article,"A particular item or object, typically one of a specified type",makale,He wrote an article for the magazine.,noun,articles,"item, object",none,"news article, research article",văn hóa,en
artificial,"Made or produced by human beings rather than occurring naturally, typically as a copy of something natural",yapay,This drink contains artificial flavors.,adjective,artificially,"synthetic, fake","natural, real","artificial intelligence, artificial light",thức ăn,en
artificially,By means of human intervention rather than naturally,yapay olarak,The flowers are artificially grown.,adverb,artificial,unnaturally,naturally,"artificially colored, artificially flavored",văn hóa,en
artist,A person who creates art,sanatçı,He is a famous artist.,noun,artists,"creator, painter",none,"professional artist, artist community",nghề nghiệp,en
artistic,Having or revealing natural creative skill,sanatsal,She has great artistic talent.,adjective,artistically,"creative, imaginative","unartistic, uncreative","artistic expression, artistic skills",luyện trí não,en
artistically,In a way that relates to art or artists,sanatsal olarak,The room was decorated artistically.,adverb,artistic,"creatively, aesthetically",unartistically,"artistically inclined, artistically gifted",nghề nghiệp,en
